Title: Hook, Line, and Sinker; Genre: Romance
Title: Truth and Other Lies; Genre: Drama
Title: Girls Can Kiss Now; Genre: Essay
Title: In the Margins; Genre: Non-fiction
Title: Memphis; Genre: Historical fiction
Title: The Wedding Crasher; Genre: Romantic comedy
Title: Portrait of a Thief; Genre: Suspense
Title: Time Is a Mother; Genre: Poetry
Title: The Memory Librarian; Genre: Science fiction
Title: Finding Me; Genre: Autobiography
Title: Sea of Tranquility; Genre: Science fiction
Title: Lessons in Chemistry; Genre: Historical fiction
Title: Tomorrow, and Tomorrow, and Tomorrow; Genre: Contemporary fiction
Title: The Maid; Genre: Mystery
Title: The Candy House; Genre: Literary fiction
Title: Black Cake; Genre: Family drama
Title: Love on the Brain; Genre: Romance
Title: Book Lovers; Genre: Romantic comedy
Title: Violeta; Genre: Historical fiction
Title: Our Missing Hearts; Genre: Dystopia
Title: The Atlas Six; Genre: Fantasy
Title: Demon Copperhead; Genre: Literary fiction
Title: Nightcrawling; Genre: Drama
Title: Shrines of Gaiety; Genre: Historical fiction
Title: The House Across the Lake; Genre: Suspense
Title: All Good People Here; Genre: Mystery
Title: Young Mungo; Genre: Contemporary fiction
Title: Carrie Soto Is Back; Genre: Sports
Title: Upgrade; Genre: Science fiction
Title: Fairy Tale; Genre: Fantasy
Title: The Paris Apartment; Genre: Mystery
Title: One Italian Summer; Genre: Romance
Title: The School for Good Mothers; Genre: Dystopia
Title: Remarkably Bright Creatures; Genre: Contemporary fiction
Title: A Flicker in the Dark; Genre: Suspense
Title: The Measure; Genre: Science fiction
Title: I’m Glad My Mom Died; Genre: Memoir
Title: Marrying the Ketchups; Genre: Humorous fiction
Title: Our Wives Under the Sea; Genre: Horror
Title: The Rabbit Hutch; Genre: Literary fiction
Title: How High We Go in the Dark; Genre: Science fiction
Title: Thistlefoot; Genre: Fantasy
Title: Love Marriage; Genre: Drama
Title: The Family Chao; Genre: Contemporary fiction
Title: What Moves the Dead; Genre: Horror
Title: Companion Piece; Genre: Literary fiction
Title: Tomorrow in Shanghai; Genre: Short story collection
Title: The Cartographers; Genre: Mystery
Title: Lesser Known Monsters of the 21st Century; Genre: Fantasy
Title: The Kingdom of Sand; Genre: Drama
Title: Vladimir; Genre: Contemporary fiction
Title: The Light Pirate; Genre: Dystopia
Title: Solito; Genre: Memoir
Title: Night of the Living Rez; Genre: Short story collection
Title: Scattered All Over the Earth; Genre: Science fiction
Title: Youngblood; Genre: Suspense
Title: Horse; Genre: Historical fiction
Title: The World We Make; Genre: Fantasy
Title: The Marriage Portrait; Genre: Historical fiction
Title: When We Were Birds; Genre: Drama
Title: Signal Fires; Genre: Contemporary fiction
Title: The It Girl; Genre: Mystery
Title: The Last White Man; Genre: Literary fiction
Title: Hester; Genre: Historical fiction
Title: All This Could Be Different; Genre: Drama
Title: Properties of Thirst; Genre: Literature
Title: Before You Knew My Name; Genre: Suspense
Title: Counterfeit; Genre: Black comedy
Title: The Stranger in the Lifeboat; Genre: Spiritual fiction
Title: Chorus; Genre: Family drama
Title: Africa Is Not a Country; Genre: Non-fiction
Title: Acts of Service; Genre: Contemporary fiction
Title: The Golden Enclaves; Genre: Fantasy
Title: The Cloisters; Genre: Mystery
