Title: Victory City; Genre: Historical Fiction
Title: The Art Thief: A True Story of Love, Crime, and a Dangerous Obsession; Genre: True Crime
Title: The Future; Genre: Science Fiction
Title: Mobility; Genre: Literary Fiction
Title: Pageboy: A Memoir; Genre: Memoir
Title: Ancient Night; Genre: Folklore
Title: Small Mercies; Genre: Mystery
Title: The Devil's Playground; Genre: Thriller
Title: Happiness Falls; Genre: Contemporary Fiction
Title: More Is More: Get Loose in the Kitchen; Genre: Cookbook
Title: The MANIAC; Genre: Biography
Title: Wednesday's Child: Stories; Genre: Short Stories
Title: The Reformatory; Genre: Horror
Title: The Hive and the Honey; Genre: Historical Fiction
Title: Bariloche; Genre: Literary Fiction
Title: The Blood Years; Genre: Historical Fiction
Title: Roaming; Genre: Graphic Novel
Title: Some People Need Killing: A Memoir of Murder in My Country; Genre: Memoir
Title: Wellness; Genre: Contemporary Fiction
Title: Duel; Genre: Sports Drama
Title: The Postcard; Genre: Historical Fiction
Title: Eve: How the Female Body Drove 200 Million Years of Human Evolution; Genre: Science
Title: The Faraway World; Genre: Short Stories
Title: Liliana’s Invincible Summer: A Sister’s Search for Justice; Genre: Memoir
Title: Wifedom: Mrs. Orwell’s Invisible Life; Genre: Biography
Title: Roman Stories; Genre: Short Stories
Title: The Unsettled; Genre: Contemporary Fiction
Title: Vengeance Is Mine; Genre: Mystery
Title: The Secret Hours; Genre: Thriller
Title: Enter Ghost; Genre: Literary Fiction
Title: Judgment at Tokyo: World War II on Trial and the Making of Modern Asia; Genre: History
Title: Red Memory: The Afterlives of China’s Cultural Revolution; Genre: History
Title: The Rachel Incident; Genre: Romance
Title: Master Slave Husband Wife: An Epic Journey from Slavery to Freedom; Genre: Historical Biography
Title: I Am Homeless If This is Not My Home; Genre: Literary Fiction
Title: In Memoriam; Genre: Historical Fiction
Title: Anansi’s Gold; Genre: True Crime
Title: August Blue; Genre: Contemporary Fiction
Title: Ordinary Notes; Genre: Essays
Title: The Circumference of the World; Genre: Science Fiction
Title: The Country of the Blind: A Memoir at the End of Sight; Genre: Memoir
Title: When Crack Was King: A People’s History of a Misunderstood Era; Genre: History
Title: After the Funeral and Other Stories; Genre: Short Stories
Title: Tremor; Genre: Literary Fiction
Title: Waiting to Be Arrested at Night: A Uyghur Poet’s Memoir of China’s Genocide; Genre: Memoir
Title: The Late Americans; Genre: Literary Fiction
Title: A Thread of Violence; Genre: True Crime
Title: The Bandit Queens by Parini Shroff; Genre: Contemporary Fiction
Title: The Golden Doves; Genre: Historical Fiction
Title: Sam by Allegra Goodman; Genre: Contemporary Fiction
Title: The Villa by Rachel Hawkins; Genre: Mystery
Title: The Great Reclamation; Genre: Historical Fiction
Title: The Stolen Heir by Holly Black; Genre: Fantasy
Title: The Future; Genre: Dystopian Fiction
Title: Same Bed Different Dreams; Genre: Political Fiction
Title: Code Name Blue Wren by Jim Popkin; Genre: Nonfiction
Title: Simply Lies; Genre: Mystery
Title: Before We Were Innocent; Genre: Mystery & Thriller
Title: Old God’s Time; Genre: Mystery
Title: My Name is Barbra; Genre: Biography
Title: The Perfumist of Paris; Genre: Historical Fiction
Title: Birnam Wood; Genre: Thriller
Title: Chain-Gang All-Stars; Genre: Dystopian Fiction
Title: Pineapple Street; Genre: Contemporary Fiction
