altura (cm),wing length (cm),body width (cm),body length (cm),tiempo (s)
445,3.9,2.4,7.8,2.27
445,3.9,2.4,7.8,2.31
445,3.9,2.4,7.8,2.09
445,3.9,2.4,7.8,2.58
445,3.9,2.4,7.8,2.4
445,3.9,2.4,7.8,2.3
445,3.9,2.4,7.8,2.67
445,3.9,2.4,7.8,2.44
445,3.9,2.4,7.8,2.39
445,3.9,2.4,7.8,2.49
445,4.8,2.4,7.8,2.64
445,4.8,2.4,7.8,2.57
445,4.8,2.4,7.8,3.08
445,4.8,2.4,7.8,3.22
445,4.8,2.4,7.8,2.67
445,4.8,2.4,7.8,2.46
445,4.8,2.4,7.8,2.78
445,4.8,2.4,7.8,2.86
445,4.8,2.4,7.8,2.95
445,4.8,2.4,7.8,3.03
445,5.6,2.4,7.8,3.14
445,5.6,2.4,7.8,2.93
445,5.6,2.4,7.8,2.77
445,5.6,2.4,7.8,2.66
445,5.6,2.4,7.8,2.73
445,5.6,2.4,7.8,2.6
445,5.6,2.4,7.8,3.17
445,5.6,2.4,7.8,3.03
445,5.6,2.4,7.8,3.23
445,5.6,2.4,7.8,3.15
200,3.9,3.6,7.8,1.19
200,3.9,3.6,7.8,1.13
200,3.9,3.6,7.8,1.06
200,3.9,3.6,7.8,1.14
200,3.9,3.6,7.8,1.11
200,3.9,3.6,7.8,1.09
200,3.9,3.6,7.8,1.14
200,3.9,3.6,7.8,1.13
200,3.9,3.6,7.8,1.19
200,3.9,3.6,7.8,1.09
200,4.8,3.6,7.8,1.14
200,4.8,3.6,7.8,1.28
200,4.8,3.6,7.8,1.18
200,4.8,3.6,7.8,1.18
200,4.8,3.6,7.8,1.17
200,4.8,3.6,7.8,1.19
200,4.8,3.6,7.8,1.29
200,4.8,3.6,7.8,1.24
200,4.8,3.6,7.8,1.25
200,4.8,3.6,7.8,1.23
200,5.6,3.6,7.8,1.38
200,5.6,3.6,7.8,1.31
200,5.6,3.6,7.8,1.38
200,5.6,3.6,7.8,1.39
200,5.6,3.6,7.8,1.34
200,5.6,3.6,7.8,1.3
200,5.6,3.6,7.8,1.34
200,5.6,3.6,7.8,1.39
200,5.6,3.6,7.8,1.34
200,5.6,3.6,7.8,1.43
300,3.9,3.6,7.8,1.31
300,3.9,3.6,7.8,1.44
300,3.9,3.6,7.8,1.4
300,3.9,3.6,7.8,1.36
300,3.9,3.6,7.8,1.76
300,3.9,3.6,7.8,1.8
300,3.9,3.6,7.8,1.82
300,3.9,3.6,7.8,1.26
300,3.9,3.6,7.8,1.42
300,3.9,3.6,7.8,1.49
300,3.9,3.6,7.8,1.7
300,3.9,3.6,7.8,1.92
300,4.8,3.6,7.8,1.69
300,4.8,3.6,7.8,1.9
300,4.8,3.6,7.8,2.04
300,4.8,3.6,7.8,1.88
300,4.8,3.6,7.8,1.82
300,4.8,3.6,7.8,1.5
300,4.8,3.6,7.8,1.96
300,4.8,3.6,7.8,2.2
300,4.8,3.6,7.8,1.66
300,4.8,3.6,7.8,1.57
300,5.6,3.6,7.8,2.11
300,5.6,3.6,7.8,1.94
300,5.6,3.6,7.8,2.52
300,5.6,3.6,7.8,2.32
300,5.6,3.6,7.8,2.47
300,5.6,3.6,7.8,2
300,5.6,3.6,7.8,2.31
300,5.6,3.6,7.8,1.84
300,5.6,3.6,7.8,1.51
300,5.6,3.6,7.8,1.99
300,5.6,3.6,7.8,1.85
200,3.9,2.4,7.8,1.12
200,3.9,2.4,7.8,1.13
200,3.9,2.4,7.8,1.08
200,3.9,2.4,7.8,1.17
200,3.9,2.4,7.8,1.19
200,3.9,2.4,7.8,1.18
200,3.9,2.4,7.8,1.12
200,3.9,2.4,7.8,1.1
200,3.9,2.4,7.8,1.12
200,3.9,2.4,7.8,1.09
200,4.8,2.4,7.8,1.23
200,4.8,2.4,7.8,1.19
200,4.8,2.4,7.8,1.19
200,4.8,2.4,7.8,1.21
200,4.8,2.4,7.8,1.25
200,4.8,2.4,7.8,1.23
200,4.8,2.4,7.8,1.22
200,4.8,2.4,7.8,1.26
200,4.8,2.4,7.8,1.24
200,4.8,2.4,7.8,1.24
200,5.6,2.4,7.8,1.29
200,5.6,2.4,7.8,1.38
200,5.6,2.4,7.8,1.33
200,5.6,2.4,7.8,1.34
200,5.6,2.4,7.8,1.39
200,5.6,2.4,7.8,1.36
200,5.6,2.4,7.8,1.31
200,5.6,2.4,7.8,1.31
200,5.6,2.4,7.8,1.31
200,5.6,2.4,7.8,1.46
