pagina	pregunta	incisos
12	tipo_entidad	h
12	origen_entidad	b
12	proposito	d
12	informacion_presentada	a
12	vision	a b d
12	consecuencias	c
12	que_muestra	c
12	intencion	b
12	localizacion_problema	b
12	involucrados	f
12	formalidad	a
12	nivel_educacion	b
12	tono	b
12	emociones	h
12	tipo_entidad	h
12	origen_entidad	b
12	proposito	d
12	informacion_presentada	a
12	vision	d
12	consecuencias	c
12	que_muestra	d
12	intencion	a
12	localizacion_problema	b
12	involucrados	b
12	formalidad	a
12	nivel_educacion	b
12	tono	b
12	emociones	h
12	tipo_entidad	h
12	origen_entidad	b
12	proposito	d
12	informacion_presentada	a
12	vision	d
12	consecuencias	c
12	que_muestra	c
12	intencion	a
12	localizacion_problema	b
12	involucrados	c
12	formalidad	a
12	nivel_educacion	b
12	tono	b
12	emociones	h
571	tipo_entidad	h
571	origen_entidad	a
571	proposito	d
571	informacion_presentada	a
571	vision	d
571	consecuencias	a
571	que_muestra	c
571	intencion	a
571	localizacion_problema	b
571	involucrados	c
571	formalidad	a
571	nivel_educacion	b
571	tono	b
571	emociones	h
571	tipo_entidad	h
571	origen_entidad	b
571	proposito	e
571	informacion_presentada	a
571	vision	d
571	consecuencias	d
571	que_muestra	d
571	intencion	b
571	localizacion_problema	c
571	involucrados	b
571	formalidad	a
571	nivel_educacion	b
571	tono	b
571	emociones	h
571	tipo_entidad	h
571	origen_entidad	a
571	proposito	d
571	informacion_presentada	a
571	vision	d
571	consecuencias	a
571	que_muestra	d
571	intencion	b
571	localizacion_problema	b
571	involucrados	c
571	formalidad	a
571	nivel_educacion	b
571	tono	b
571	emociones	h
200	tipo_entidad	b
200	origen_entidad	b
200	proposito	d
200	informacion_presentada	a
200	vision	d
200	consecuencias	b
200	que_muestra	d
200	intencion	b
200	localizacion_problema	b
200	involucrados	c
200	formalidad	a
200	nivel_educacion	b
200	tono	b
200	emociones	h
200	tipo_entidad	b
200	origen_entidad	b
200	proposito	d
200	informacion_presentada	a
200	vision	d
200	consecuencias	c
200	que_muestra	d
200	intencion	b
200	localizacion_problema	b
200	involucrados	f c d
200	formalidad	a
200	nivel_educacion	b
200	tono	a
200	emociones	g
200	tipo_entidad	b
200	origen_entidad	b
200	proposito	d
200	informacion_presentada	a
200	vision	d
200	consecuencias	b
200	que_muestra	b
200	intencion	b
200	localizacion_problema	b
200	involucrados	d
200	formalidad	a
200	nivel_educacion	b
200	tono	a
200	emociones	e
394	tipo_entidad	b
394	origen_entidad	b
394	proposito	d
394	informacion_presentada	a
394	vision	d
394	consecuencias	c
394	que_muestra	d
394	intencion	b
394	localizacion_problema	b
394	involucrados	a
394	formalidad	a
394	nivel_educacion	b
394	tono	a
394	emociones	h
394	tipo_entidad	b
394	origen_entidad	b
394	proposito	d
394	informacion_presentada	a
394	vision	d
394	consecuencias	d
394	que_muestra	c
394	intencion	a
394	localizacion_problema	c
394	involucrados	f
394	formalidad	a
394	nivel_educacion	b
394	tono	b
394	emociones	h
394	tipo_entidad	b
394	origen_entidad	b
394	proposito	d
394	informacion_presentada	a
394	vision	d
394	consecuencias	d
394	que_muestra	d
394	intencion	f
394	localizacion_problema	c
394	involucrados	f
394	formalidad	a
