target,dataset,model,feature,times_selected,selection_rate
2-clases,bow,logreg,presentarse_delta_cum_s8,4,0.8
2-clases,bow,logreg,unir_cum_s9,3,0.6
2-clases,bow,logreg,desarrollo social_diff_s9,3,0.6
2-clases,bow,logreg,dirigido_cum_s2,3,0.6
2-clases,bow,logreg,martín_delta_cum_s3,2,0.4
2-clases,bow,logreg,investigar sancionar_std_s10,2,0.4
2-clases,bow,logreg,caldo cultivo_delta_cum_s9,2,0.4
2-clases,bow,logreg,dio_mean_s8,2,0.4
2-clases,bow,logreg,dio_std_s8,2,0.4
2-clases,bow,logreg,delictivos_mean_s2,2,0.4
2-clases,bow,logreg,delictivos_delta_cum_s2,2,0.4
2-clases,bow,logreg,corrupción implica_diff_s8,2,0.4
2-clases,bow,logreg,dinámica_cum_s2,2,0.4
2-clases,bow,logreg,corrupción cuales_cum_s2,2,0.4
2-clases,bow,logreg,serios_delta_cum_s5,2,0.4
2-clases,bow,logreg,martín_cum_s3,2,0.4
2-clases,bow,logreg,especial atención_delta_cum_s8,2,0.4
2-clases,bow,logreg,sión_delta_cum_s3,2,0.4
2-clases,bow,logreg,consecución_cum_s5,2,0.4
2-clases,bow,logreg,dir_cum_s7,2,0.4
2-clases,bow,logreg,procesar_diff_s7,2,0.4
2-clases,bow,logreg,circulación_cum_s2,1,0.2
2-clases,bow,logreg,públicos privados_mean_s10,1,0.2
2-clases,bow,logreg,públicos privados_std_s10,1,0.2
2-clases,bow,logreg,andrés_std_s4,1,0.2
2-clases,bow,logreg,reporting_cum_s7,1,0.2
2-clases,bow,logreg,entró_mean_s3,1,0.2
2-clases,bow,logreg,entró_std_s3,1,0.2
2-clases,bow,logreg,boletines_cum_s4,1,0.2
2-clases,bow,logreg,lacra_mean_s10,1,0.2
2-clases,bow,logreg,desvía_mean_s10,1,0.2
2-clases,bow,logreg,desvía_std_s10,1,0.2
2-clases,bow,logreg,corrupción genera_std_s3,1,0.2
2-clases,bow,logreg,corrupción genera_mean_s3,1,0.2
2-clases,bow,logreg,sobresueldos_cum_s8,1,0.2
2-clases,bow,logreg,excepcional_mean_s1,1,0.2
2-clases,bow,logreg,barra_delta_cum_s5,1,0.2
2-clases,bow,logreg,legítima_cum_s2,1,0.2
2-clases,bow,logreg,pudiendo_cum_s2,1,0.2
2-clases,bow,logreg,principalmente_std_s2,1,0.2
