target,dataset,model,fold,n_selected,selected_features,best_params
2-clases,forms,logreg,1,30,emociones__b_delta_cum_s8 | emociones__b_mean_s8 | emociones__b_std_s8 | intencion__c_cum_s9 | intencion__c_cum_s10 | consecuencias__a_cum_s4 | consecuencias__b_delta_cum_s10 | tipo_entidad__c_mean_s9 | tipo_entidad__c_std_s9 | consecuencias__b_mean_s10 | involucrados__h_std_s10 | involucrados__e_delta_cum_s9 | involucrados__h_mean_s10 | emociones__c_mean_s5 | localidad_problema__c_delta_cum_s10 | involucrados__g_diff_s8 | consecuencias__c_cum_s4 | involucrados__b_cum_s9 | intencion__a_cum_s10 | emociones__e_mean_s6 | involucrados__b_mean_s1 | involucrados__b_cum_s1 | emociones__e_diff_s6 | involucrados__b_cum_s7 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6 | emociones__b_cum_s7 | involucrados__b_cum_s6 | emociones__b_cum_s6 | involucrados__b_cum_s8,"{'clf__C': 0.1, 'select__k': 'all'}"
2-clases,forms,logreg,2,30,emociones__b_delta_cum_s8 | emociones__b_mean_s8 | emociones__b_std_s8 | intencion__c_cum_s9 | intencion__c_cum_s10 | consecuencias__a_cum_s4 | consecuencias__b_delta_cum_s10 | tipo_entidad__c_mean_s9 | tipo_entidad__c_std_s9 | consecuencias__b_mean_s10 | involucrados__h_std_s10 | involucrados__e_delta_cum_s9 | involucrados__h_mean_s10 | emociones__c_mean_s5 | localidad_problema__c_delta_cum_s10 | involucrados__g_diff_s8 | consecuencias__c_cum_s4 | involucrados__b_cum_s9 | intencion__a_cum_s10 | emociones__e_mean_s6 | involucrados__b_mean_s1 | involucrados__b_cum_s1 | emociones__e_diff_s6 | involucrados__b_cum_s7 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6 | emociones__b_cum_s7 | involucrados__b_cum_s6 | emociones__b_cum_s6 | involucrados__b_cum_s8,"{'clf__C': 0.01, 'select__k': 'all'}"
2-clases,forms,logreg,3,10,intencion__c_cum_s9 | intencion__c_cum_s10 | consecuencias__b_delta_cum_s10 | consecuencias__b_mean_s10 | localidad_problema__c_delta_cum_s10 | emociones__e_mean_s6 | involucrados__b_cum_s7 | emociones__e_delta_cum_s6 | involucrados__b_cum_s6 | involucrados__b_cum_s8,"{'clf__C': 0.1, 'select__k': 10}"
2-clases,forms,logreg,4,30,emociones__b_delta_cum_s8 | emociones__b_mean_s8 | emociones__b_std_s8 | intencion__c_cum_s9 | intencion__c_cum_s10 | consecuencias__a_cum_s4 | consecuencias__b_delta_cum_s10 | tipo_entidad__c_mean_s9 | tipo_entidad__c_std_s9 | consecuencias__b_mean_s10 | involucrados__h_std_s10 | involucrados__e_delta_cum_s9 | involucrados__h_mean_s10 | emociones__c_mean_s5 | localidad_problema__c_delta_cum_s10 | involucrados__g_diff_s8 | consecuencias__c_cum_s4 | involucrados__b_cum_s9 | intencion__a_cum_s10 | emociones__e_mean_s6 | involucrados__b_mean_s1 | involucrados__b_cum_s1 | emociones__e_diff_s6 | involucrados__b_cum_s7 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6 | emociones__b_cum_s7 | involucrados__b_cum_s6 | emociones__b_cum_s6 | involucrados__b_cum_s8,"{'clf__C': 0.01, 'select__k': 'all'}"
2-clases,forms,logreg,5,5,consecuencias__b_delta_cum_s10 | consecuencias__b_mean_s10 | emociones__e_mean_s6 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6,"{'clf__C': 0.1, 'select__k': 5}"
2-clases,forms,svc,1,20,emociones__b_delta_cum_s8 | emociones__b_mean_s8 | emociones__b_std_s8 | consecuencias__a_cum_s4 | consecuencias__b_delta_cum_s10 | tipo_entidad__c_mean_s9 | consecuencias__b_mean_s10 | localidad_problema__c_delta_cum_s10 | consecuencias__c_cum_s4 | involucrados__b_cum_s9 | emociones__e_mean_s6 | involucrados__b_mean_s1 | involucrados__b_cum_s1 | emociones__e_diff_s6 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6 | emociones__b_cum_s7 | involucrados__b_cum_s6 | emociones__b_cum_s6 | involucrados__b_cum_s8,"{'clf__C': 0.01, 'clf__gamma': 'auto', 'clf__kernel': 'linear', 'select__k': 20}"
2-clases,forms,svc,2,30,emociones__b_delta_cum_s8 | emociones__b_mean_s8 | emociones__b_std_s8 | intencion__c_cum_s9 | intencion__c_cum_s10 | consecuencias__a_cum_s4 | consecuencias__b_delta_cum_s10 | tipo_entidad__c_mean_s9 | tipo_entidad__c_std_s9 | consecuencias__b_mean_s10 | involucrados__h_std_s10 | involucrados__e_delta_cum_s9 | involucrados__h_mean_s10 | emociones__c_mean_s5 | localidad_problema__c_delta_cum_s10 | involucrados__g_diff_s8 | consecuencias__c_cum_s4 | involucrados__b_cum_s9 | intencion__a_cum_s10 | emociones__e_mean_s6 | involucrados__b_mean_s1 | involucrados__b_cum_s1 | emociones__e_diff_s6 | involucrados__b_cum_s7 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6 | emociones__b_cum_s7 | involucrados__b_cum_s6 | emociones__b_cum_s6 | involucrados__b_cum_s8,"{'clf__C': 0.01, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 'all'}"
2-clases,forms,svc,3,10,intencion__c_cum_s9 | consecuencias__b_delta_cum_s10 | consecuencias__b_mean_s10 | localidad_problema__c_delta_cum_s10 | involucrados__b_cum_s9 | emociones__e_mean_s6 | involucrados__b_cum_s7 | emociones__e_delta_cum_s6 | involucrados__b_cum_s6 | involucrados__b_cum_s8,"{'clf__C': 1, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 10}"
2-clases,forms,svc,4,30,emociones__b_delta_cum_s8 | emociones__b_mean_s8 | emociones__b_std_s8 | intencion__c_cum_s9 | intencion__c_cum_s10 | consecuencias__a_cum_s4 | consecuencias__b_delta_cum_s10 | tipo_entidad__c_mean_s9 | tipo_entidad__c_std_s9 | consecuencias__b_mean_s10 | involucrados__h_std_s10 | involucrados__e_delta_cum_s9 | involucrados__h_mean_s10 | emociones__c_mean_s5 | localidad_problema__c_delta_cum_s10 | involucrados__g_diff_s8 | consecuencias__c_cum_s4 | involucrados__b_cum_s9 | intencion__a_cum_s10 | emociones__e_mean_s6 | involucrados__b_mean_s1 | involucrados__b_cum_s1 | emociones__e_diff_s6 | involucrados__b_cum_s7 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6 | emociones__b_cum_s7 | involucrados__b_cum_s6 | emociones__b_cum_s6 | involucrados__b_cum_s8,"{'clf__C': 0.01, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 'all'}"
2-clases,forms,svc,5,10,consecuencias__b_delta_cum_s10 | tipo_entidad__c_mean_s9 | consecuencias__b_mean_s10 | localidad_problema__c_delta_cum_s10 | involucrados__g_diff_s8 | emociones__e_mean_s6 | emociones__e_diff_s6 | involucrados__b_mean_s6 | emociones__e_delta_cum_s6 | involucrados__b_cum_s6,"{'clf__C': 0.1, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}"
2-clases,bow,logreg,1,50,circulación_cum_s2 | públicos privados_mean_s10 | públicos privados_std_s10 | martín_delta_cum_s3 | presentarse_delta_cum_s8 | investigar sancionar_std_s10 | andrés_std_s4 | caldo cultivo_delta_cum_s9 | dio_mean_s8 | dio_std_s8 | delictivos_mean_s2 | reporting_cum_s7 | entró_mean_s3 | entró_std_s3 | delictivos_delta_cum_s2 | boletines_cum_s4 | lacra_mean_s10 | desvía_mean_s10 | desvía_std_s10 | corrupción genera_std_s3 | corrupción genera_mean_s3 | corrupción implica_diff_s8 | sobresueldos_cum_s8 | excepcional_mean_s1 | barra_delta_cum_s5 | legítima_cum_s2 | pudiendo_cum_s2 | principalmente_std_s2 | ideas_mean_s6 | relativas_mean_s6 | tratamiento_mean_s2 | semejante_delta_cum_s4 | dinámica_cum_s2 | proliferación_cum_s8 | disposición_mean_s6 | corrupción cuales_cum_s2 | arreglo_diff_s6 | rss_cum_s2 | dentro plazo_delta_cum_s6 | legislativo_mean_s6 | estimaciones_cum_s8 | defender_std_s2 | 39_std_s6 | 39_mean_s6 | completa_mean_s6 | mencionadas_diff_s6 | capítulo_std_s6 | unir_cum_s9 | juicio_mean_s6 | desarrollo social_diff_s9,"{'clf__C': 0.01, 'select__k': 50}"
2-clases,bow,logreg,2,5,martín_delta_cum_s3 | serios_delta_cum_s5 | dirigido_cum_s2 | martín_cum_s3 | desarrollo social_diff_s9,"{'clf__C': 10, 'select__k': 5}"
2-clases,bow,logreg,3,20,presentarse_delta_cum_s8 | empíricos_std_s8 | especial atención_delta_cum_s8 | 92_diff_s3 | contempla_std_s3 | sión_delta_cum_s3 | dir_delta_cum_s9 | entró vigor_mean_s3 | marco normativo_std_s8 | poder beneficio_mean_s8 | consecución_cum_s5 | sión_delta_cum_s2 | sión_cum_s2 | menos corrupción_delta_cum_s6 | dirigido_cum_s2 | tratamiento_cum_s2 | dir_cum_s7 | unir_cum_s9 | administrativos_mean_s6 | administrativos_std_s6,"{'clf__C': 0.01, 'select__k': 20}"
