target,dataset,n_folds,logreg,svc
2-clases,bow,2,1.0,1.0
2-clases,bow,3,0.943,1.0
2-clases,bow,5,0.947,1.0
2-clases,forms,2,0.623,0.737
2-clases,forms,3,0.818,0.818
2-clases,forms,5,0.867,0.747
2-clases,robertuito,2,0.154,0.222
2-clases,robertuito,3,0.306,0.306
2-clases,robertuito,5,0.17,0.197
3-clases,bow,2,0.5,0.58
3-clases,bow,3,0.785,0.881
3-clases,bow,5,0.642,0.731
3-clases,forms,2,0.595,0.787
3-clases,forms,3,0.478,0.607
3-clases,forms,5,0.587,0.653
3-clases,robertuito,2,0.261,0.299
3-clases,robertuito,3,0.226,0.219
3-clases,robertuito,5,0.156,0.111
4-clases,bow,2,0.383,0.379
4-clases,bow,3,0.436,0.311
4-clases,bow,5,0.478,0.325
4-clases,forms,2,0.386,0.59
4-clases,forms,3,0.45,0.431
4-clases,forms,5,0.617,0.611
4-clases,robertuito,2,0.119,0.177
4-clases,robertuito,3,0.158,0.156
4-clases,robertuito,5,0.175,0.1
