target,dataset,n_folds,logreg,svc
2-clases,bow,2,1.0,1.0
2-clases,bow,3,0.943,0.886
2-clases,bow,5,0.947,1.0
2-clases,forms,2,0.598,0.623
2-clases,forms,3,0.818,0.693
2-clases,forms,5,0.867,0.747
2-clases,robertuito,2,0.154,0.245
2-clases,robertuito,3,0.425,0.435
2-clases,robertuito,5,0.21,0.267
3-clases,bow,2,0.592,0.696
3-clases,bow,3,0.719,0.621
3-clases,bow,5,0.62,0.629
3-clases,forms,2,0.465,0.562
3-clases,forms,3,0.626,0.607
3-clases,forms,5,0.542,0.522
3-clases,robertuito,2,0.214,0.213
3-clases,robertuito,3,0.174,0.237
3-clases,robertuito,5,0.156,0.171
4-clases,bow,2,0.421,0.321
4-clases,bow,3,0.317,0.236
4-clases,bow,5,0.378,0.317
4-clases,forms,2,0.567,0.574
4-clases,forms,3,0.458,0.478
4-clases,forms,5,0.717,0.561
4-clases,robertuito,2,0.175,0.267
4-clases,robertuito,3,0.228,0.196
4-clases,robertuito,5,0.175,0.075
