target,dataset,model,n_samples,n_features,n_classes,n_folds,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,accuracy_all_folds,f1_all_folds,best_params_folds
2-clases,forms,logreg,18,18,2,2,0.6666666666666666,0.2222222222222222,0.5982905982905984,0.2905982905982906,"[0.4444444444444444, 0.8888888888888888]","[0.3076923076923077, 0.888888888888889]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}]"
2-clases,forms,svc,18,18,2,2,0.7222222222222222,0.16666666666666663,0.623015873015873,0.2658730158730159,"[0.5555555555555556, 0.8888888888888888]","[0.35714285714285715, 0.888888888888889]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 5}]"
2-clases,robertuito,logreg,18,420,2,2,0.2222222222222222,0.2222222222222222,0.15384615384615385,0.15384615384615385,"[0.4444444444444444, 0.0]","[0.3076923076923077, 0.0]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'select__k': 20}]"
2-clases,robertuito,svc,18,420,2,2,0.3333333333333333,0.1111111111111111,0.24475524475524474,0.06293706293706296,"[0.4444444444444444, 0.2222222222222222]","[0.3076923076923077, 0.1818181818181818]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}, {'clf__C': 1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 10}]"
2-clases,bow,logreg,18,10,2,2,1.0,0.0,1.0,0.0,"[1.0, 1.0]","[1.0, 1.0]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}, {'clf__C': 10, 'clf__class_weight': None, 'select__k': 5}]"
2-clases,bow,svc,18,10,2,2,1.0,0.0,1.0,0.0,"[1.0, 1.0]","[1.0, 1.0]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}]"
3-clases,forms,logreg,18,18,3,2,0.5555555555555556,0.0,0.4650793650793651,0.06507936507936504,"[0.5555555555555556, 0.5555555555555556]","[0.4000000000000001, 0.5301587301587302]","[{'clf__C': 10, 'clf__class_weight': 'balanced', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}]"
3-clases,forms,svc,18,18,3,2,0.5555555555555556,0.1111111111111111,0.5621693121693122,0.08068783068783072,"[0.4444444444444444, 0.6666666666666666]","[0.48148148148148145, 0.6428571428571429]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}]"
3-clases,robertuito,logreg,18,420,3,2,0.2222222222222222,0.0,0.2142857142857143,0.007936507936507922,"[0.2222222222222222, 0.2222222222222222]","[0.2222222222222222, 0.20634920634920637]","[{'clf__C': 0.1, 'clf__class_weight': None, 'select__k': 20}, {'clf__C': 10, 'clf__class_weight': 'balanced', 'select__k': 20}]"
3-clases,robertuito,svc,18,420,3,2,0.3333333333333333,0.0,0.21296296296296297,0.046296296296296294,"[0.3333333333333333, 0.3333333333333333]","[0.25925925925925924, 0.16666666666666666]","[{'clf__C': 1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 5}]"
3-clases,bow,logreg,18,10,3,2,0.6666666666666666,0.0,0.5916666666666666,0.05833333333333329,"[0.6666666666666666, 0.6666666666666666]","[0.5333333333333333, 0.6499999999999999]","[{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': None, 'select__k': 10}]"
3-clases,bow,svc,18,10,3,2,0.7222222222222222,0.05555555555555558,0.6956349206349206,0.054365079365079394,"[0.6666666666666666, 0.7777777777777778]","[0.6412698412698412, 0.75]","[{'clf__C': 10, 'clf__class_weight': None, 'clf__gamma': 'scale', 'clf__kernel': 'rbf', 'select__k': 5}, {'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__gamma': 'scale', 'clf__kernel': 'linear', 'select__k': 10}]"
4-clases,forms,logreg,18,18,4,2,0.5555555555555556,0.1111111111111111,0.5666666666666667,0.09166666666666662,"[0.4444444444444444, 0.6666666666666666]","[0.475, 0.6583333333333332]","[{'clf__C': 1, 'clf__class_weight': None, 'select__k': 10}, {'clf__C': 10, 'clf__class_weight': 'balanced', 'select__k': 10}]"
