target,dataset,model,n_samples,n_features,n_classes,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std
2-clases,forms,logreg,18,19,2,0.9,0.20000000000000004,0.8666666666666666,0.26666666666666666
2-clases,forms,svc,18,19,2,0.7833333333333333,0.19436506316151003,0.7466666666666666,0.2472964932132188
2-clases,robertuito,logreg,18,500,2,0.3,0.26666666666666666,0.19666666666666666,0.1674647558277396
2-clases,robertuito,svc,18,500,2,0.2333333333333333,0.2,0.16666666666666666,0.13944333775567927
2-clases,bow,logreg,18,16,2,0.95,0.09999999999999999,0.9466666666666667,0.10666666666666666
2-clases,bow,svc,18,16,2,0.95,0.09999999999999999,0.9466666666666667,0.10666666666666666
3-clases,forms,logreg,18,19,3,0.6166666666666667,0.23333333333333334,0.5311111111111111,0.2683649624791205
3-clases,forms,svc,18,19,3,0.7166666666666667,0.26666666666666666,0.6866666666666668,0.26964997888208914
3-clases,robertuito,logreg,18,500,3,0.21666666666666665,0.19436506316150998,0.1222222222222222,0.10183501544346311
3-clases,robertuito,svc,18,500,3,0.2833333333333333,0.1632993161855452,0.17111111111111107,0.12503826574786842
3-clases,bow,logreg,18,16,3,0.7833333333333333,0.19436506316151003,0.731111111111111,0.22182186157276057
3-clases,bow,svc,18,16,3,0.7833333333333333,0.19436506316151003,0.731111111111111,0.22182186157276057
4-clases,forms,logreg,18,19,4,0.6,0.22607766610417562,0.5277777777777777,0.2710291315033438
4-clases,forms,svc,18,19,4,0.5333333333333333,0.2818589087547961,0.4333333333333333,0.24944382578492943
4-clases,robertuito,logreg,18,500,4,0.1,0.20000000000000004,0.06666666666666667,0.13333333333333333
4-clases,robertuito,svc,18,500,4,0.2333333333333333,0.12247448713915891,0.17222222222222222,0.09026709338484401
4-clases,bow,logreg,18,16,4,0.5,0.19002923751652298,0.38611111111111107,0.2019197982820694
4-clases,bow,svc,18,16,4,0.4333333333333333,0.17795130420052185,0.325,0.18708286933869703
