target,dataset,model,n_samples,n_features,n_classes,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std
2-clases,forms,logreg,18,18,2,0.6666666666666666,0.2222222222222222,0.5982905982905984,0.2905982905982906
2-clases,forms,svc,18,18,2,0.7222222222222222,0.16666666666666663,0.623015873015873,0.2658730158730159
2-clases,robertuito,logreg,18,420,2,0.2222222222222222,0.2222222222222222,0.15384615384615385,0.15384615384615385
2-clases,robertuito,svc,18,420,2,0.3333333333333333,0.1111111111111111,0.24475524475524474,0.06293706293706296
2-clases,bow,logreg,18,10,2,1.0,0.0,1.0,0.0
2-clases,bow,svc,18,10,2,1.0,0.0,1.0,0.0
3-clases,forms,logreg,18,18,3,0.5555555555555556,0.0,0.4650793650793651,0.06507936507936504
3-clases,forms,svc,18,18,3,0.5555555555555556,0.1111111111111111,0.5621693121693122,0.08068783068783072
3-clases,robertuito,logreg,18,420,3,0.2222222222222222,0.0,0.2142857142857143,0.007936507936507922
3-clases,robertuito,svc,18,420,3,0.3333333333333333,0.0,0.21296296296296297,0.046296296296296294
3-clases,bow,logreg,18,10,3,0.6666666666666666,0.0,0.5916666666666666,0.05833333333333329
3-clases,bow,svc,18,10,3,0.7222222222222222,0.05555555555555558,0.6956349206349206,0.054365079365079394
4-clases,forms,logreg,18,18,4,0.5555555555555556,0.1111111111111111,0.5666666666666667,0.09166666666666662
4-clases,forms,svc,18,18,4,0.6111111111111112,0.055555555555555525,0.5738095238095238,0.05714285714285716
4-clases,robertuito,logreg,18,420,4,0.2222222222222222,0.1111111111111111,0.175,0.075
4-clases,robertuito,svc,18,420,4,0.3333333333333333,0.0,0.26666666666666666,0.04166666666666667
4-clases,bow,logreg,18,10,4,0.5,0.05555555555555558,0.42083333333333334,0.1291666666666667
4-clases,bow,svc,18,10,4,0.38888888888888884,0.05555555555555555,0.32142857142857145,0.07142857142857145
2-clases,forms,logreg,18,18,2,0.8333333333333334,0.13608276348795434,0.8178571428571427,0.15328045524196382
2-clases,forms,svc,18,18,2,0.7222222222222222,0.07856742013183865,0.6928571428571427,0.09596449173246
2-clases,robertuito,logreg,18,420,2,0.5555555555555555,0.15713484026367722,0.425,0.1541103500742244
2-clases,robertuito,svc,18,420,2,0.5,0.0,0.43492063492063493,0.07183306983482393
2-clases,bow,logreg,18,10,2,0.9444444444444445,0.0785674201318386,0.9428571428571427,0.08081220356417688
2-clases,bow,svc,18,10,2,0.888888888888889,0.0785674201318386,0.8857142857142857,0.08081220356417688
3-clases,forms,logreg,18,18,3,0.6666666666666666,0.0,0.6259259259259259,0.04996569467863722
3-clases,forms,svc,18,18,3,0.6111111111111112,0.20786985482077452,0.6074074074074074,0.15852544117802003
3-clases,robertuito,logreg,18,420,3,0.2222222222222222,0.07856742013183861,0.17407407407407405,0.07388865682688889
3-clases,robertuito,svc,18,420,3,0.27777777777777773,0.07856742013183861,0.23703703703703702,0.08904307614941709
3-clases,bow,logreg,18,10,3,0.7777777777777778,0.07856742013183865,0.7185185185185184,0.11665196850387874
3-clases,bow,svc,18,10,3,0.7222222222222222,0.07856742013183865,0.6211640211640211,0.1425471848070648
4-clases,forms,logreg,18,18,4,0.5,0.13608276348795434,0.4583333333333333,0.05892556509887896
4-clases,forms,svc,18,18,4,0.49999999999999994,0.13608276348795434,0.4777777777777777,0.18083311998621993
4-clases,robertuito,logreg,18,420,4,0.27777777777777773,0.07856742013183861,0.22777777777777777,0.08507440461729751
4-clases,robertuito,svc,18,420,4,0.27777777777777773,0.07856742013183861,0.196031746031746,0.09221559684421798
4-clases,bow,logreg,18,10,4,0.4444444444444444,0.15713484026367722,0.31666666666666665,0.15693829879806148
4-clases,bow,svc,18,10,4,0.3333333333333333,0.13608276348795434,0.23611111111111108,0.08561686115234689
2-clases,forms,logreg,18,18,2,0.9,0.20000000000000004,0.8666666666666666,0.26666666666666666
2-clases,forms,svc,18,18,2,0.7833333333333333,0.19436506316151003,0.7466666666666666,0.2472964932132188
2-clases,robertuito,logreg,18,420,2,0.3,0.21473497877875208,0.21000000000000002,0.128062484748657
2-clases,robertuito,svc,18,420,2,0.3333333333333333,0.18257418583505539,0.26666666666666666,0.16158932858054428
2-clases,bow,logreg,18,10,2,0.95,0.09999999999999999,0.9466666666666667,0.10666666666666666
2-clases,bow,svc,18,10,2,1.0,0.0,1.0,0.0
3-clases,forms,logreg,18,18,3,0.6666666666666666,0.09128709291752769,0.5422222222222222,0.17976665258805938
3-clases,forms,svc,18,18,3,0.6,0.22607766610417562,0.5222222222222223,0.26666666666666666
3-clases,robertuito,logreg,18,420,3,0.26666666666666666,0.1615893285805443,0.15555555555555556,0.0816496580927726
3-clases,robertuito,svc,18,420,3,0.3333333333333333,0.09128709291752768,0.17111111111111107,0.028631330503833614
3-clases,bow,logreg,18,10,3,0.6833333333333333,0.2438123139721299,0.62,0.27544800768615413
3-clases,bow,svc,18,10,3,0.7333333333333333,0.1615893285805443,0.6288888888888888,0.20118169418233378
4-clases,forms,logreg,18,18,4,0.7666666666666667,0.2905932629027116,0.7166666666666666,0.35590260840104376
4-clases,forms,svc,18,18,4,0.6666666666666666,0.09128709291752769,0.5611111111111111,0.09686442096757052
4-clases,robertuito,logreg,18,420,4,0.2833333333333333,0.1632993161855452,0.175,0.1130388330520878
4-clases,robertuito,svc,18,420,4,0.1,0.12247448713915891,0.075,0.09999999999999999
4-clases,bow,logreg,18,10,4,0.5,0.19002923751652298,0.37777777777777777,0.20306296536107848
4-clases,bow,svc,18,10,4,0.45,0.14529663145135577,0.31666666666666665,0.11055415967851333
