target,dataset,model,n_samples,n_features,n_classes,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std
2-clases,forms,logreg,18,19,2,0.7222222222222222,0.16666666666666663,0.623015873015873,0.2658730158730159
2-clases,forms,svc,18,19,2,0.5555555555555556,0.0,0.35714285714285715,0.0
2-clases,robertuito,logreg,18,500,2,0.3333333333333333,0.1111111111111111,0.24475524475524474,0.06293706293706296
2-clases,robertuito,svc,18,500,2,0.4444444444444444,0.11111111111111113,0.3035714285714286,0.053571428571428575
2-clases,bow,logreg,18,16,2,1.0,0.0,1.0,0.0
2-clases,bow,svc,18,16,2,1.0,0.0,1.0,0.0
3-clases,forms,logreg,18,19,3,0.6111111111111112,0.055555555555555525,0.5873015873015872,0.05396825396825394
3-clases,forms,svc,18,19,3,0.6111111111111112,0.055555555555555525,0.5873015873015872,0.05396825396825394
3-clases,robertuito,logreg,18,500,3,0.2222222222222222,0.1111111111111111,0.20357142857142857,0.12023809523809526
3-clases,robertuito,svc,18,500,3,0.2777777777777778,0.05555555555555555,0.1976190476190476,0.030952380952380953
3-clases,bow,logreg,18,16,3,0.5,0.16666666666666666,0.47777777777777775,0.1722222222222222
3-clases,bow,svc,18,16,3,0.7222222222222222,0.05555555555555558,0.6956349206349206,0.054365079365079394
4-clases,forms,logreg,18,19,4,0.5,0.05555555555555558,0.4708333333333333,0.004166666666666652
4-clases,forms,svc,18,19,4,0.5555555555555556,0.1111111111111111,0.47797619047619044,0.06964285714285712
4-clases,robertuito,logreg,18,500,4,0.16666666666666666,0.05555555555555555,0.13988095238095238,0.06845238095238093
4-clases,robertuito,svc,18,500,4,0.2777777777777778,0.05555555555555555,0.1755952380952381,0.05059523809523811
4-clases,bow,logreg,18,16,4,0.4444444444444444,0.0,0.35833333333333334,0.033333333333333326
4-clases,bow,svc,18,16,4,0.38888888888888884,0.05555555555555555,0.27976190476190477,0.011904761904761862
2-clases,forms,logreg,18,19,2,0.8333333333333334,0.13608276348795434,0.8178571428571427,0.15328045524196382
2-clases,forms,svc,18,19,2,0.7777777777777778,0.07856742013183865,0.7607142857142857,0.09596449173246
2-clases,robertuito,logreg,18,500,2,0.5,0.13608276348795434,0.4674603174603174,0.17059246426408647
2-clases,robertuito,svc,18,500,2,0.5555555555555556,0.20786985482077455,0.4706349206349206,0.2553755651277121
2-clases,bow,logreg,18,16,2,0.9444444444444445,0.0785674201318386,0.9428571428571427,0.08081220356417688
2-clases,bow,svc,18,16,2,0.9444444444444445,0.0785674201318386,0.9428571428571427,0.08081220356417688
3-clases,forms,logreg,18,19,3,0.5555555555555555,0.15713484026367722,0.5111111111111111,0.048005486654873024
3-clases,forms,svc,18,19,3,0.6666666666666666,0.13608276348795434,0.6592592592592593,0.16488762436705234
3-clases,robertuito,logreg,18,500,3,0.27777777777777773,0.07856742013183861,0.16402116402116404,0.03741305720563745
3-clases,robertuito,svc,18,500,3,0.27777777777777773,0.07856742013183861,0.23703703703703702,0.08904307614941709
3-clases,bow,logreg,18,16,3,0.7222222222222222,0.07856742013183865,0.6285714285714286,0.13830489467169507
3-clases,bow,svc,18,16,3,0.7777777777777778,0.20786985482077452,0.7814814814814816,0.19716787635860988
4-clases,forms,logreg,18,19,4,0.49999999999999994,0.13608276348795434,0.44999999999999996,0.1296362432175337
4-clases,forms,svc,18,19,4,0.4444444444444444,0.20786985482077452,0.44999999999999996,0.20949675149960892
4-clases,robertuito,logreg,18,500,4,0.2222222222222222,0.15713484026367722,0.1722222222222222,0.12478376358453445
4-clases,robertuito,svc,18,500,4,0.2222222222222222,0.15713484026367722,0.15833333333333333,0.11242281302693367
4-clases,bow,logreg,18,16,4,0.4444444444444444,0.20786985482077452,0.39999999999999997,0.2393084171493316
4-clases,bow,svc,18,16,4,0.4444444444444444,0.15713484026367722,0.39999999999999997,0.10023121418149288
2-clases,forms,logreg,18,19,2,0.8833333333333334,0.1452966314513558,0.8800000000000001,0.1484737163421339
