dataset,task,model,selector,n_components,n_samples,n_features,n_folds,accuracy_mean,accuracy_std,accuracy_all,f1_macro_mean,f1_macro_std,f1_macro_all,precision_macro_mean,precision_macro_std,precision_macro_all,recall_macro_mean,recall_macro_std,recall_macro_all
forms,classification,LR,none,,19,30,5,0.6833333333333333,0.2438123139721299,"[1.0, 0.75, 0.75, 0.25, 0.6666666666666666]",0.6111111111111109,0.2675909906398288,"[1.0, 0.6666666666666666, 0.6666666666666666, 0.16666666666666666, 0.5555555555555555]",0.575,0.2806243040080456,"[1.0, 0.625, 0.625, 0.125, 0.5]",0.6833333333333333,0.2438123139721299,"[1.0, 0.75, 0.75, 0.25, 0.6666666666666666]"
forms,classification,SVC_lineal,pca,0.95,19,30,5,0.6333333333333333,0.2505549396395485,"[0.75, 1.0, 0.25, 0.5, 0.6666666666666666]",0.55,0.26666666666666666,"[0.6666666666666666, 1.0, 0.25, 0.3333333333333333, 0.5]",0.525,0.27838821814150105,"[0.625, 1.0, 0.25, 0.25, 0.5]",0.6,0.25495097567963926,"[0.75, 1.0, 0.25, 0.5, 0.5]"
forms,classification,SVC_lineal,none,,19,30,5,0.6333333333333333,0.1130388330520878,"[0.75, 0.75, 0.5, 0.5, 0.6666666666666666]",0.5444444444444444,0.12372809695177826,"[0.6666666666666666, 0.6666666666666666, 0.5, 0.3333333333333333, 0.5555555555555555]",0.5,0.13693063937629152,"[0.625, 0.625, 0.5, 0.25, 0.5]",0.6333333333333333,0.1130388330520878,"[0.75, 0.75, 0.5, 0.5, 0.6666666666666666]"
forms,classification,LR,pca,0.95,19,30,5,0.6166666666666667,0.1715938356831167,"[0.75, 0.75, 0.75, 0.5, 0.3333333333333333]",0.5333333333333333,0.17159383568311665,"[0.6666666666666666, 0.6666666666666666, 0.6666666666666666, 0.41666666666666663, 0.25]",0.5,0.15811388300841897,"[0.625, 0.625, 0.625, 0.375, 0.25]",0.6,0.2,"[0.75, 0.75, 0.75, 0.5, 0.25]"
forms,classification,SVC_rbf,pca,0.95,19,30,5,0.5166666666666667,0.20682789409984761,"[0.75, 0.75, 0.5, 0.25, 0.3333333333333333]",0.4416666666666666,0.18929694486000911,"[0.6666666666666666, 0.6666666666666666, 0.375, 0.25, 0.25]",0.41666666666666663,0.17280367794439766,"[0.625, 0.625, 0.3333333333333333, 0.25, 0.25]",0.5,0.22360679774997896,"[0.75, 0.75, 0.5, 0.25, 0.25]"
forms,classification,SVC_rbf,none,,19,30,5,0.4666666666666667,0.2818589087547961,"[0.75, 0.75, 0.5, 0.0, 0.3333333333333333]",0.4,0.25495097567963926,"[0.6666666666666666, 0.6666666666666666, 0.41666666666666663, 0.0, 0.25]",0.375,0.23717082451262844,"[0.625, 0.625, 0.375, 0.0, 0.25]",0.45,0.29154759474226505,"[0.75, 0.75, 0.5, 0.0, 0.25]"
robertuito,classification,SVC_lineal,none,,19,600,5,0.3333333333333333,0.22973414586817037,"[0.0, 0.5, 0.25, 0.25, 0.6666666666666666]",0.2444444444444444,0.19692857638629,"[0.0, 0.375, 0.125, 0.16666666666666666, 0.5555555555555555]",0.20833333333333331,0.18257418583505539,"[0.0, 0.3333333333333333, 0.08333333333333333, 0.125, 0.5]",0.3333333333333333,0.22973414586817037,"[0.0, 0.5, 0.25, 0.25, 0.6666666666666666]"
robertuito,classification,SVC_rbf,pca,0.95,19,600,5,0.26666666666666666,0.1615893285805443,"[0.0, 0.25, 0.5, 0.25, 0.3333333333333333]",0.175,0.1130388330520878,"[0.0, 0.125, 0.3333333333333333, 0.25, 0.16666666666666666]",0.1388888888888889,0.09781564923143894,"[0.0, 0.08333333333333333, 0.25, 0.25, 0.1111111111111111]",0.26666666666666666,0.1615893285805443,"[0.0, 0.25, 0.5, 0.25, 0.3333333333333333]"
robertuito,classification,LR,none,,19,600,5,0.21666666666666665,0.19436506316151,"[0.0, 0.5, 0.25, 0.0, 0.3333333333333333]",0.14444444444444443,0.14234586639243285,"[0.0, 0.375, 0.125, 0.0, 0.2222222222222222]",0.11666666666666665,0.12472191289246472,"[0.0, 0.3333333333333333, 0.08333333333333333, 0.0, 0.16666666666666666]",0.21666666666666665,0.19436506316151,"[0.0, 0.5, 0.25, 0.0, 0.3333333333333333]"
robertuito,classification,LR,pca,0.95,19,600,5,0.21666666666666665,0.19436506316151,"[0.0, 0.5, 0.25, 0.0, 0.3333333333333333]",0.13333333333333333,0.1379412113103904,"[0.0, 0.375, 0.125, 0.0, 0.16666666666666666]",0.10555555555555554,0.12222222222222222,"[0.0, 0.3333333333333333, 0.08333333333333333, 0.0, 0.1111111111111111]",0.21666666666666665,0.19436506316151,"[0.0, 0.5, 0.25, 0.0, 0.3333333333333333]"
